serial, year, department, image, page
69,1890,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000093/5313_760703.jpg, http://www.artic.edu/aic/collections/artwork/65847?search_no=1&index=9
70,1670,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/179_1171863.jpg, http://www.artic.edu/aic/collections/artwork/512?search_no=1&index=1
71,1666,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000067/180_587204.jpg, http://www.artic.edu/aic/collections/artwork/561?search_no=1&index=2
72,1662,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000120/160131_1213587.jpg, http://www.artic.edu/aic/collections/artwork/869?search_no=1&index=4
73,1664,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/10088_1166053.jpg, http://www.artic.edu/aic/collections/artwork/863?search_no=1&index=3
74,1674,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/209_1164243.jpg, http://www.artic.edu/aic/collections/artwork/117476?search_no=1&index=6
75,1645,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000131/207_1344520.jpg, http://www.artic.edu/aic/collections/artwork/94840?search_no=1&index=5
76,1651,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/1772_1171723.jpg, http://www.artic.edu/aic/collections/artwork/16343?search_no=1&index=7
77,1680,14, , http://www.artic.edu/aic/collections/artwork/16394?search_no=1&index=9
78,1653,14, , http://www.artic.edu/aic/collections/artwork/16370?search_no=1&index=8
79,1936,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/6145_1171043.jpg, http://www.artic.edu/aic/collections/artwork/145241?search_no=8&index=0
80,1949,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000123/164238_1251458.jpg, http://www.artic.edu/aic/collections/artwork/53023?search_no=8&index=1
81,1924,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/5625_764249.jpg, http://www.artic.edu/aic/collections/artwork/90441?search_no=8&index=3
82,1910,14, , http://www.artic.edu/aic/collections/artwork/34660?search_no=8&index=2
83,1927,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/3779_1168463.jpg, http://www.artic.edu/aic/collections/artwork/18830?search_no=8&index=4
84,1921,14, , http://www.artic.edu/aic/collections/artwork/30348?search_no=8&index=5
85,1913,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000091/131409_742244.jpg, http://www.artic.edu/aic/collections/artwork/12874?search_no=8&index=6
86,1949,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000093/7_758335.jpg, http://www.artic.edu/aic/collections/artwork/118657?search_no=8&index=8
87,1930,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000139/182570_1453064.jpg, http://www.artic.edu/aic/collections/artwork/109278?search_no=8&index=7
88,1938,14, , http://www.artic.edu/aic/collections/artwork/185187?search_no=8&index=9
89,1926,21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000002/50626_356713.jpg, http://www.artic.edu/aic/collections/artwork/134047?search_no=12&index=0
90,1928,21, , http://www.artic.edu/aic/collections/artwork/154497?search_no=12&index=1
91,1931,21, , http://www.artic.edu/aic/collections/artwork/64276?search_no=12&index=2
92,1930,21, , http://www.artic.edu/aic/collections/artwork/111636?search_no=12&index=3
93,1936,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/6145_1171043.jpg, http://www.artic.edu/aic/collections/artwork/145241?search_no=12&index=4
94,1970,21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000072/4530_623946.jpg, http://www.artic.edu/aic/collections/artwork/93802?search_no=12&index=5
95,1885,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/4118_761345.jpg, http://www.artic.edu/aic/collections/artwork/28862?search_no=12&index=6
96,1942,21, , http://www.artic.edu/aic/collections/artwork/65906?search_no=12&index=7
97,1884,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000067/8227_591535.jpg, http://www.artic.edu/aic/collections/artwork/27992?search_no=12&index=9
98,1910,14, , http://www.artic.edu/aic/collections/artwork/34660?search_no=12&index=8
99,1936,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/6145_1171043.jpg, http://www.artic.edu/aic/collections/artwork/145241?search_no=1&index=0
100,1924,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/5625_764249.jpg, http://www.artic.edu/aic/collections/artwork/90441?search_no=1&index=1
101,1921,14, , http://www.artic.edu/aic/collections/artwork/30348?search_no=1&index=3
102,1927,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/3779_1168463.jpg, http://www.artic.edu/aic/collections/artwork/18830?search_no=1&index=2
103,1930,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000139/182570_1453064.jpg, http://www.artic.edu/aic/collections/artwork/109278?search_no=1&index=4
104,1920,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/2643_1161303.jpg, http://www.artic.edu/aic/collections/artwork/59869?search_no=1&index=5
105,1938,14, , http://www.artic.edu/aic/collections/artwork/185187?search_no=1&index=6
106,1924,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/5809_762209.jpg, http://www.artic.edu/aic/collections/artwork/111668?search_no=1&index=7
107,1933,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/5658_761189.jpg, http://www.artic.edu/aic/collections/artwork/73669?search_no=1&index=9
108,1922,14, , http://www.artic.edu/aic/collections/artwork/76051?search_no=1&index=8
109,1948,3, , http://www.artic.edu/aic/collections/artwork/3274?search_no=1&index=0
110,1950,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000070/112747_610506.jpg, http://www.artic.edu/aic/collections/artwork/3277?search_no=1&index=1
111,1950,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000070/112748_610512.jpg, http://www.artic.edu/aic/collections/artwork/3281?search_no=1&index=2
112,1918,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/3333_760961.jpg, http://www.artic.edu/aic/collections/artwork/5375?search_no=1&index=3
113,1939,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000082/122687_682940.jpg, http://www.artic.edu/aic/collections/artwork/10187?search_no=1&index=4
114,1938,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000020/17241_249372.jpg, http://www.artic.edu/aic/collections/artwork/12043?search_no=1&index=5
115,1955,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000022/9445_250573.jpg, http://www.artic.edu/aic/collections/artwork/12472?search_no=1&index=6
116,1935,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/3521_761381.jpg, http://www.artic.edu/aic/collections/artwork/12752?search_no=1&index=7
117,1935,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000020/17250_249374.jpg, http://www.artic.edu/aic/collections/artwork/30468?search_no=1&index=9
118,1966,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000066/80308_581030.jpg, http://www.artic.edu/aic/collections/artwork/28897?search_no=1&index=8
119,1770,8, , http://www.artic.edu/aic/collections/artwork/189661?search_no=1&index=0
120,1807,8, , http://www.artic.edu/aic/collections/artwork/201900?search_no=1&index=1
121,1848,8, , http://www.artic.edu/aic/collections/artwork/201910?search_no=1&index=2
122,1800,8, , http://www.artic.edu/aic/collections/artwork/189647?search_no=1&index=3
123, ,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000072/105_624258.jpg, http://www.artic.edu/aic/collections/artwork/148389?search_no=1&index=4
124,1861,8, , http://www.artic.edu/aic/collections/artwork/193211?search_no=1&index=5
125,1850,8, , http://www.artic.edu/aic/collections/artwork/193212?search_no=1&index=6
126,1705,8, , http://www.artic.edu/aic/collections/artwork/188949?search_no=1&index=8
127, ,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000121/157880_1214808.jpg, http://www.artic.edu/aic/collections/artwork/148369?search_no=1&index=7
128,1823,8, , http://www.artic.edu/aic/collections/artwork/201904?search_no=1&index=9
129,1936,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/2870_1164753.jpg, http://www.artic.edu/aic/collections/artwork/72889?search_no=1&index=0
130,1933,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000080/2977_672250.jpg, http://www.artic.edu/aic/collections/artwork/77615?search_no=1&index=1
131,1932,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/5499_761315.jpg, http://www.artic.edu/aic/collections/artwork/110973?search_no=1&index=2
132,1925,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000103/5775_882582.jpg, http://www.artic.edu/aic/collections/artwork/111654?search_no=1&index=3
133,1927,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000080/5498_672313.jpg, http://www.artic.edu/aic/collections/artwork/120542?search_no=1&index=4
134,1936,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000125/6016_1267710.jpg, http://www.artic.edu/aic/collections/artwork/129854?search_no=1&index=5
135,1938,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000084/3914_698904.jpg, http://www.artic.edu/aic/collections/artwork/23365?search_no=1&index=6
136,1952,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000022/9358_250571.jpg, http://www.artic.edu/aic/collections/artwork/53013?search_no=1&index=7
137,1930,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000101/141056_863060.jpg, http://www.artic.edu/aic/collections/artwork/75375?search_no=1&index=8
138,1947,24, , http://www.artic.edu/aic/collections/artwork/110928?search_no=1&index=9
139,1654,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000133/77175_1378424.jpg, http://www.artic.edu/aic/collections/artwork/127643?search_no=1&index=0
140,1675,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000065/4518_578595.jpg, http://www.artic.edu/aic/collections/artwork/127644?search_no=1&index=1
141,1835,6, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000074/2413_636094.jpg, http://www.artic.edu/aic/collections/artwork/45401?search_no=57&index=1
142,1884,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000067/8227_591535.jpg, http://www.artic.edu/aic/collections/artwork/27992?search_no=57&index=0
143,1940,6, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000072/2425_623310.jpg, http://www.artic.edu/aic/collections/artwork/45418?search_no=57&index=2
144,1930,21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/50629_1357814.jpg, http://www.artic.edu/aic/collections/artwork/6565?search_no=57&index=3
145,1912,25, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/5397_773256.jpg, http://www.artic.edu/aic/collections/artwork/105203?search_no=57&index=4
146,1877,3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000140/4830_1460956.jpg, http://www.artic.edu/aic/collections/artwork/61603?search_no=57&index=5
147,1929,21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000133/85157_1377608.jpg, http://www.artic.edu/aic/collections/artwork/46327?search_no=57&index=8
148,918,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/3807_1357450.jpg, http://www.artic.edu/aic/collections/artwork/22525?search_no=57&index=7
149,1909,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/159203_1153853.jpg, http://www.artic.edu/aic/collections/artwork/79307?search_no=57&index=6
150,1630,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/5605_1357490.jpg, http://www.artic.edu/aic/collections/artwork/73413?search_no=57&index=9
151,1392,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000004/32251_361343.jpg, http://www.artic.edu/aic/collections/artwork/185001?search_no=16&index=0
152,918,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/3807_1357450.jpg, http://www.artic.edu/aic/collections/artwork/22525?search_no=16&index=3
153,1880,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000014/22474_225106.jpg, http://www.artic.edu/aic/collections/artwork/129?search_no=16&index=1
154,1675,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000065/4518_578595.jpg, http://www.artic.edu/aic/collections/artwork/127644?search_no=16&index=2
155,618,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/7433_1173563.jpg, http://www.artic.edu/aic/collections/artwork/86380?search_no=16&index=4
156,960,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000085/125567_703467.jpg, http://www.artic.edu/aic/collections/artwork/12284?search_no=16&index=6
157,618,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000001/19303_355735.jpg, http://www.artic.edu/aic/collections/artwork/32532?search_no=16&index=5
158,1615,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000069/111657_603016.jpg, http://www.artic.edu/aic/collections/artwork/158921?search_no=16&index=7
159,1368,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000001/56122_354742.jpg, http://www.artic.edu/aic/collections/artwork/21284?search_no=16&index=8
160, ,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/2904_1359067.jpg, http://www.artic.edu/aic/collections/artwork/70115?search_no=16&index=9
161,1968,8, , http://www.artic.edu/aic/collections/artwork/99366?search_no=142&index=0
162,1791,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000093/76461_759077.jpg, http://www.artic.edu/aic/collections/artwork/36427?search_no=142&index=1
163,1392,8, , http://www.artic.edu/aic/collections/artwork/158472?search_no=142&index=2
164,1766,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000076/79655_647775.jpg, http://www.artic.edu/aic/collections/artwork/88951?search_no=142&index=3
165,1792,8, , http://www.artic.edu/aic/collections/artwork/24437?search_no=142&index=5
166,1930,8, , http://www.artic.edu/aic/collections/artwork/185402?search_no=142&index=4
167, ,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000038/92016_461994.jpg, http://www.artic.edu/aic/collections/artwork/41357?search_no=142&index=6
168,1714,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000069/111658_603022.jpg, http://www.artic.edu/aic/collections/artwork/127635?search_no=142&index=7
169,1766,8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000117/1591_1175453.jpg, http://www.artic.edu/aic/collections/artwork/88986?search_no=142&index=8
