serial, year, department, image, page
serial, year, department, image, page
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000036/91121_456576.jpg, 81
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000119/77155_1195903.jpg, 85
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000119/77160_1195923.jpg, 86
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000119/77159_1195913.jpg, 87
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000091/131614_743483.jpg, 89
, 1780, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000119/77157_1195943.jpg, 91
, 1871, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000026/63896_425878.jpg, 93
, 1692, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000076/117222_645039.jpg, 108
, 1698, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000076/117221_645033.jpg, 110
, 1698, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000076/117191_644853.jpg, 111
, 1664, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000026/88496_423876.jpg, 115
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000026/88497_423882.jpg, 116
, 1880, 8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000014/22474_225106.jpg, 129
, 1887, 21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000129/171649_1321649.jpg, 138
, 1682, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000092/133117_752468.jpg, 143
, 1662, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000036/90883_455136.jpg, 145
, 1874, 21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000121/176_1222266.jpg, 153
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/129186_727654.jpg, 155
, 500, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000001/168_356340.jpg, 158
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/129182_727630.jpg, 161
, 520, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000140/169_1461466.jpg, 162
, 460, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/61197_1168103.jpg, 164
, 470, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/61209_1170693.jpg, 166
, 550, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000089/129465_730300.jpg, 172
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000113/156466_1129966.jpg, 173
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000113/156468_1129976.jpg, 176
, 450, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/16454_1357520.jpg, 177
, , 94, , 181
, 320, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000048/75422_323032.jpg, 182
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000004/41653_361572.jpg, 183
, 470, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000001/171_356354.jpg, 185
, 460, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/129183_727636.jpg, 191
, 400, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/61190_1168043.jpg, 255
, 480, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/61195_1168093.jpg, 256
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000090/130815_738402.jpg, 262
, 450, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000016/84111_392987.jpg, 281
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/129185_727648.jpg, 317
, 1650, 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000070/112282_607489.jpg, 462
, 1607, 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000070/112283_607498.jpg, 463
, 1607, 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000070/112285_607513.jpg, 464
, 1707, 14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/178_1171133.jpg, 497
, 1670, 14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/179_1171863.jpg, 512
, , 4, , 518
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000021/52368_250023.jpg, 521
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000084/124645_695135.jpg, 522
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000005/52371_363834.jpg, 523
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000016/80623_392912.jpg, 532
, 1666, 14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000067/180_587204.jpg, 561
, 1881, 14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/181_728506.jpg, 567
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000003/46262_360684.jpg, 576
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000112/156491_1122919.jpg, 593
, 600, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/67511_1162063.jpg, 614
, 440, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/61192_1168063.jpg, 615
, 430, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/184_1170683.jpg, 616
, 664, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000001/188_356522.jpg, 617
, 1720, 4, , 622
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000048/96394_492339.jpg, 640
, 640, 94, , 641
, 1893, 21, , 656
, 1892, 21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000001/205_355048.jpg, 663
, 1878, 14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/67522_1162253.jpg, 729
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000020/31879_249511.jpg, 760
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000120/229_1209657.jpg, 761
, 1711, 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000032/33003_441383.jpg, 764
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000020/33004_249546.jpg, 765
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000033/33005_445807.jpg, 766
, , 4, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000002/39840_358830.jpg, 770
serial, year, department, image, page
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000068/46422_592416.jpg, 4
, 1869, 21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000125/163_1267760.jpg, 9
, 1663, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000107/146195_919625.jpg, 16
, 1763, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000109/148213_941553.jpg, 19
